pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.0051196203567087,0.0373763404786586,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0056345327757298,0.0447190552949905,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.0067089032381772,0.0383282601833343,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.0184250250458717,0.0115260407328605,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.0856757387518882,0.0329634249210357,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0481908284127712,0.0343379341065883,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.2365710735321045,0.0192655120044946,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,1.986987590789795,0.0179259292781353,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.294742584228516,0.0309971012175083,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.027173601090908,0.054987397044897,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.0162864346057176,0.0779726803302764,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0765564441680908,0.1265211552381515,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.0149393565952777,0.0904302150011062,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.0062555968761444,0.046573344618082,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.005116106942296,0.0510603189468383,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.0375193953514099,0.0375930331647396,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.059018600732088,0.0325283370912075,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.0419141463935375,0.0676115304231643,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0008590152719989,0.0494070500135421,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0017707017250359,0.0644995495676994,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.001068246201612,0.0949667245149612,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0137476557865738,0.0290157180279493,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0007153308251872,0.0358914285898208,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0005353367887437,0.0315582603216171,300.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0050848075188696,0.0420481786131858,100.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.0041548260487616,0.0311699360609054,200.0,50.0,4.0,4,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.0046117925085127,0.0413249023258686,300.0,50.0,4.0,4,poisson_grid_clean
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,0.505604894491994,0.3264640569686889,200.0,50.0,4.0,0,burgers_baseline_fixed
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,0.4047687243937735,0.2428111881017685,200.0,50.0,4.0,1,burgers_baseline_fixed
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,0.4268227055560279,0.2563534677028656,200.0,50.0,4.0,2,burgers_baseline_fixed
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,0.500203187344174,0.2408264279365539,200.0,50.0,4.0,3,burgers_baseline_fixed
burgers,baseline_fixed,0.0,0.0,10.0,1.0,200.0,fixed,0.4252487770103107,0.213734745979309,200.0,50.0,4.0,4,burgers_baseline_fixed
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.4525722402839989,0.0673753395676612,100.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.451571848692634,0.067905843257904,200.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.4699497931672219,0.0907652378082275,300.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.6540060873986971,0.0252494700253009,100.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.6106889967625743,0.0263980738818645,200.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.618354062179834,0.0237787421792745,300.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.4815304345911528,0.2679535150527954,100.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4496813153735872,0.2584062814712524,200.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.4856268006650565,0.3535646200180053,300.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5825937900606258,0.0857556834816932,100.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.5677726061147931,0.1122777536511421,200.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.4669568976194172,0.0677057430148124,300.0,50.0,4.0,0,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.4373314616346433,0.0416451133787632,100.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.4122505902610691,0.0980361476540565,200.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.4574455006824965,0.0820149257779121,300.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.4694212178072016,0.0274664778262376,100.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.5966846102290166,0.0240640565752983,200.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.5738381271189726,0.0221678242087364,300.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.5418076272908572,0.2271830439567566,100.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4939976636773044,0.3343429565429687,200.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.418879236170332,0.2726410031318664,300.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5510438353585945,0.0773035883903503,100.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.4910948312466094,0.0841360092163086,200.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.4880507923403585,0.0757447406649589,300.0,50.0,4.0,1,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.5525195429619869,0.0642495453357696,100.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.5078847149711805,0.0902184471487999,200.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.5099571175110239,0.0928895696997642,300.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5940819782554597,0.0242838710546493,100.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.5917713651619932,0.0214477553963661,200.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.7110362544393225,0.0305570121854543,300.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.4595445284999754,0.2462935298681259,100.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4625536322316179,0.279473602771759,200.0,50.0,4.0,2,burgers_grid_clean
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.5025277976635935,0.3061127960681915,300.0,50.0,4.0,2,burgers_grid_clean
