pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,experiment,n_seeds,f1_l2_error_mean,f1_l2_error_std,f1_l2_error_min,f1_l2_error_max,f2_pde_residual_mean,f2_pde_residual_std,f2_pde_residual_min,f2_pde_residual_max,f3_data_budget_mean,f3_data_budget_std,f3_data_budget_min,f3_data_budget_max
burgers,nsga2,0.0,0.0,8.394758357233162,9.320993755185487,70.0,,,,burgers_nsga2_clean,1,0.5882554107186286,0.0,0.5882554107186286,0.5882554107186286,0.0229717940092086,0.0,0.0229717940092086,0.0229717940092086,70.0,0.0,70.0,70.0
burgers,nsga2,0.0,0.0,8.400833632774942,9.323698122811424,70.0,,,,burgers_nsga2_clean,1,0.5443917340456543,0.0,0.5443917340456543,0.5443917340456543,0.0582587122917175,0.0,0.0582587122917175,0.0582587122917175,70.0,0.0,70.0,70.0
burgers,nsga2,0.0,0.0,8.532928787644412,6.286952832097254,60.0,,,,burgers_nsga2_clean,1,0.3607385825615499,0.0,0.3607385825615499,0.3607385825615499,0.0567433610558509,0.0,0.0567433610558509,0.0567433610558509,60.0,0.0,60.0,60.0
burgers,nsga2,0.0,0.0,8.532928787644412,6.286952832097254,93.0,,,,burgers_nsga2_clean,1,0.259301924104624,0.0,0.259301924104624,0.259301924104624,0.0757222399115562,0.0,0.0757222399115562,0.0757222399115562,93.0,0.0,93.0,93.0
burgers,nsga2,0.0,0.0,8.532928787644412,6.688583686242012,93.0,,,,burgers_nsga2_clean,1,0.2682738876303291,0.0,0.2682738876303291,0.2682738876303291,0.0459357909858226,0.0,0.0459357909858226,0.0459357909858226,93.0,0.0,93.0,93.0
burgers,nsga2,0.0,0.0,9.105846743589858,4.783247870664996,98.0,,,,burgers_nsga2_clean,1,0.4373502776491152,0.0,0.4373502776491152,0.4373502776491152,0.0484868809580802,0.0,0.0484868809580802,0.0484868809580802,98.0,0.0,98.0,98.0
burgers,nsga2,0.0,0.0,9.105846743589858,5.0334435035505285,96.0,,,,burgers_nsga2_clean,1,0.38850581634277,0.0,0.38850581634277,0.38850581634277,0.0801068320870399,0.0,0.0801068320870399,0.0801068320870399,96.0,0.0,96.0,96.0
burgers,nsga2,0.0,0.0,9.220332693194242,4.986270337542315,51.0,,,,burgers_nsga2_clean,1,0.42755570322765,0.0,0.42755570322765,0.42755570322765,0.0339134819805622,0.0,0.0339134819805622,0.0339134819805622,51.0,0.0,51.0,51.0
burgers,nsga2,0.0,0.0,9.317838294184682,9.999702782456469,78.0,,,,burgers_nsga2_clean,1,0.3818528902351081,0.0,0.3818528902351081,0.3818528902351081,0.0674957185983657,0.0,0.0674957185983657,0.0674957185983657,78.0,0.0,78.0,78.0
burgers,nsga2,0.0,0.0,9.345246512406003,5.113764200590802,117.0,,,,burgers_nsga2_clean,1,0.3144228980474122,0.0,0.3144228980474122,0.3144228980474122,0.0539125129580497,0.0,0.0539125129580497,0.0539125129580497,117.0,0.0,117.0,117.0
burgers,nsga2,0.0,0.0,9.371154079858488,5.320964850068389,50.0,,,,burgers_nsga2_clean,1,0.3469831949186749,0.0,0.3469831949186749,0.3469831949186749,0.076397493481636,0.0,0.076397493481636,0.076397493481636,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,9.516281253530323,8.132889121763524,52.0,,,,burgers_nsga2_clean,1,0.3326277385120028,0.0,0.3326277385120028,0.3326277385120028,0.0490567274391651,0.0,0.0490567274391651,0.0490567274391651,52.0,0.0,52.0,52.0
burgers,nsga2,0.0,0.0,9.567554402430826,6.373977228864657,157.0,,,,burgers_nsga2_clean,1,0.2816055084650635,0.0,0.2816055084650635,0.2816055084650635,0.0741017535328865,0.0,0.0741017535328865,0.0741017535328865,157.0,0.0,157.0,157.0
burgers,nsga2,0.0,0.0,9.703959201354524,9.962476799326028,111.0,,,,burgers_nsga2_clean,1,0.3284369812476064,0.0,0.3284369812476064,0.3284369812476064,0.0580441169440746,0.0,0.0580441169440746,0.0580441169440746,111.0,0.0,111.0,111.0
burgers,nsga2,0.0,0.0,9.817462411759715,6.073950964118302,61.0,,,,burgers_nsga2_clean,1,0.344155500764344,0.0,0.344155500764344,0.344155500764344,0.0918276160955429,0.0,0.0918276160955429,0.0918276160955429,61.0,0.0,61.0,61.0
burgers,nsga2,0.0,0.0,9.842788454096372,5.320964850068389,50.0,,,,burgers_nsga2_clean,1,0.3616764092788703,0.0,0.3616764092788703,0.3616764092788703,0.0538922697305679,0.0,0.0538922697305679,0.0538922697305679,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,9.918058417633109,9.710166014644376,89.0,,,,burgers_nsga2_clean,1,0.3273552332651473,0.0,0.3273552332651473,0.3273552332651473,0.0436089746654033,0.0,0.0436089746654033,0.0436089746654033,89.0,0.0,89.0,89.0
