pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson2d,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.11052380502223969,0.1452139914035797,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.12258341908454895,0.13517148792743683,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.11860603094100952,0.10469594597816467,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.1386193484067917,0.13392722606658936,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.12840525805950165,0.10719963163137436,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.1446581482887268,0.1625414937734604,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.16516029834747314,0.140218123793602,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.1327684223651886,0.14761769771575928,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.11433004587888718,0.1326407939195633,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.7430395483970642,0.145729660987854,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.5433604121208191,0.1557530015707016,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.6435977220535278,0.1665579080581665,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.6483209133148193,0.2282492071390152,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.70180082321167,0.1827400177717209,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,0.1,10.0,300.0,fixed,1.892806053161621,0.17515864968299866,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.10713677108287811,0.11791593581438065,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.11218272149562836,0.1466718167066574,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0911521390080452,0.1453254371881485,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.15401040017604828,0.12520559132099152,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.15868890285491943,0.1967211365699768,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.13242687284946442,0.15318702161312103,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.2884274125099182,0.11221174895763397,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.3987264037132263,0.1267973631620407,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.6731536984443665,0.1535966545343399,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.03319547697901726,0.15015177428722382,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.04638415947556496,0.2180211842060089,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.04475075379014015,0.24601507186889648,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.12944266200065613,0.11499650776386261,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.1299472153186798,0.11262672394514084,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.09006229788064957,0.10435876995325089,300.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.12369882315397263,0.13864368200302124,100.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.14335116744041443,0.16015474498271942,200.0,50.0,4.0,4
poisson2d,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.14269088208675385,0.15426284074783325,300.0,50.0,4.0,4
